"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"VC14"	100	301	"M"	"F"	-0.058688	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC15"	100	301	"M"	"M"	-0.109605	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC16"	100	301	"M"	"F"	-0.015828	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC17"	100	301	"M"	"M"	-0.014028	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC18"	100	301	"M"	"M"	0.151791	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC19"	100	301	"M"	"M"	0.230038	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC2"	100	301	"M"	"F"	0.106617	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC21"	100	303	"M"	"M"	-0.102719	"22"	"0"	24725.2	13676.7722800374	230.96	59.2170604435288
"AE100"	"VC22"	100	303	"M"	"M"	-0.009604	"22"	"0"	24725.2	13676.7722800374	230.96	59.2170604435288
"AE100"	"VC24"	100	301	"M"	"F"	0.073726	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC3"	100	301	"M"	"F"	0.19199	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC4"	100	303	"M"	"F"	0.024019	"22"	"0"	24725.2	13676.7722800374	230.96	59.2170604435288
"AE100"	"VC5"	100	303	"M"	"M"	-0.006136	"22"	"0"	24725.2	13676.7722800374	230.96	59.2170604435288
"AE100"	"VC6"	100	301	"M"	"F"	0.130264	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC7"	100	301	"M"	"M"	0.002544	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC8"	100	301	"M"	"M"	0.025424	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC9"	100	301	"M"	"M"	0.12869	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC14i"	100	301	"M"	"M"	0.314514	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE100"	"VC16i"	100	301	"M"	"F"	0.125459	"22"	"0"	15355.1	14227.5226234225	339.45	41.9134559535205
"AE101"	"AE102"	100	100	"F"	"F"	0.337275	"22"	"0"	0	0	0	0
"AE101"	"AE5"	100	103	"F"	"M"	0.498851	"22"	"0"	7618.1	6853.54835103686	330.43	20.7413017917164
"AE101"	"AE6"	100	103	"F"	"M"	0.357354	"22"	"0"	7618.1	6853.54835103686	330.43	20.7413017917164
"AE101"	"AE94"	100	101	"F"	"F"	0.118819	"22"	"0"	2397	1725.40574938187	376.75	4.5797100182664
"AE101"	"AE96"	100	101	"F"	"M"	0.06947	"22"	"0"	2397	1725.40574938187	376.75	4.5797100182664
"AE101"	"AE98"	100	101	"F"	"F"	0.082636	"22"	"0"	2397	1725.40574938187	376.75	4.5797100182664
"AE101"	"AE99"	100	100	"F"	"M"	0.136243	"22"	"0"	0	0	0	0
"AE101"	"SGLT36"	100	800	"F"	"M"	0.103119	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE101"	"SGLT37"	100	800	"F"	"M"	-0.134685	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE101"	"SGLT38"	100	800	"F"	"F"	-0.026089	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE101"	"SGLT39"	100	800	"F"	"M"	0.022503	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE101"	"SGLT41"	100	800	"F"	"F"	-0.011767	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
